StartTime: 2021-08-03 16:24:18.417,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50,24:35.0,0.0303,0.9985,0.1343,-2.7466,3.479,3.479,82.9193,-3.8562,61.1774,0
0x50,24:35.0,0.0405,0.998,0.1279,-2.3193,3.6011,3.0518,82.8644,-3.8892,61.1554,0
0x50,24:35.1,0.0439,0.9971,0.1274,-1.8921,1.5869,2.3193,82.8204,-3.9111,61.1005,0
0x50,24:35.1,0.0386,0.9917,0.1255,-1.6479,0.5493,1.9531,82.7875,-3.9331,61.0181,0
0x50,24:35.1,0.0425,0.9912,0.1226,-1.5869,-0.4272,1.77,82.76,-3.9496,60.9137,0
0x50,24:35.2,0.0356,0.9946,0.1221,-1.8311,-2.8076,1.709,82.7325,-3.9661,60.7654,0
0x50,24:35.2,0.0317,0.999,0.1172,-1.9531,-2.9297,2.2583,82.7051,-3.9935,60.6061,0
0x50,24:35.2,0.0347,0.9951,0.125,-2.0752,-3.7231,3.2959,82.6721,-4.0375,60.4358,0
0x50,24:35.2,0.0273,0.9907,0.1255,-2.1362,-4.2725,4.4556,82.6392,-4.1034,60.26,0
0x50,24:35.2,0.0288,0.9907,0.1187,-2.9297,-1.0376,5.0659,82.5952,-4.1748,60.1282,0
0x50,24:35.2,0.0444,0.9985,0.1294,-3.3569,0.5493,5.0659,82.5348,-4.2517,60.0458,0
0x50,24:35.2,0.0562,1.0034,0.125,-3.7231,2.3804,3.418,82.4634,-4.3066,60.0018,0
0x50,24:35.3,0.0688,0.9951,0.1279,-3.9673,1.77,0.7324,82.3865,-4.3231,59.9524,0
0x50,24:35.3,0.0674,0.9941,0.1235,-4.2725,-0.1831,-1.709,82.3041,-4.2957,59.87,0
0x50,24:35.3,0.061,0.9932,0.1138,-5.127,-1.9531,-3.8452,82.2272,-4.2242,59.7327,0
0x50,24:35.4,0.0488,0.9985,0.1299,-5.6152,-3.7842,-4.6997,82.1283,-4.1309,59.5624,0
0x50,24:35.4,0.0361,1.0005,0.1533,-5.0049,-2.0142,-5.3101,82.0239,-4.0155,59.4141,0
0x50,24:35.4,0.0337,0.9902,0.1509,-4.2725,0.2441,-5.127,81.9305,-3.8892,59.3097,0
0x50,24:35.4,0.0283,0.9863,0.1509,-3.418,1.4648,-4.6387,81.8536,-3.7683,59.2383,0
0x50,24:35.4,0.0337,0.9893,0.1401,-3.1128,1.2207,-3.9673,81.7877,-3.6584,59.1669,0
0x50,24:35.4,0.02,0.9922,0.1362,-3.2349,0.4272,-2.6245,81.7328,-3.5706,59.0735,0
0x50,24:35.4,0.02,0.9907,0.1538,-2.7466,0.5493,-0.7935,81.6724,-3.5156,58.9911,0
0x50,24:35.5,0.0293,0.9844,0.1626,-1.8311,1.4038,0.061,81.6229,-3.4827,58.9417,0
0x50,24:35.5,0.0337,0.9878,0.1587,-0.8545,2.5024,0.061,81.59,-3.4607,58.9142,0
0x50,24:35.5,0.0337,0.9951,0.1514,-0.3662,3.9063,-0.6714,81.568,-3.4222,58.9032,0
0x50,24:35.5,0.0503,0.9956,0.1411,-0.3052,3.2959,-1.4648,81.5625,-3.3783,58.8867,0
