StartTime: 2021-08-05 11:43:50.371,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50,50:03.1,0.0117,0.9644,-0.2495,-1.4648,-0.3662,0.7935,103.3813,-1.4227,58.3319,0
0x50,50:03.1,0.0132,0.9663,-0.248,-1.2207,-0.6104,1.2207,103.3704,-1.4337,58.288,0
0x50,50:03.1,0.0176,0.9644,-0.2446,-1.0376,-0.3662,1.3428,103.3594,-1.4502,58.244,0
0x50,50:03.1,0.02,0.9673,-0.2471,-1.1597,0.061,1.2817,103.3484,-1.4722,58.2056,0
0x50,50:03.1,0.0225,0.9673,-0.2529,-1.1597,-0.061,1.1597,103.3374,-1.4886,58.1726,0
0x50,50:03.2,0.0176,0.9653,-0.2495,-1.1597,-0.1221,1.0376,103.3319,-1.5106,58.1342,0
0x50,50:03.2,0.0176,0.9678,-0.2471,-1.2207,-0.1831,1.0376,103.3209,-1.5216,58.0957,0
0x50,50:03.2,0.022,0.9668,-0.2432,-1.1597,-0.061,0.9766,103.3099,-1.5381,58.0627,0
0x50,50:03.2,0.0166,0.9663,-0.2446,-1.2207,-0.1221,0.9766,103.2935,-1.5491,58.0353,0
0x50,50:03.2,0.0166,0.9648,-0.2461,-0.9766,-0.1221,1.1597,103.2825,-1.5656,58.0023,0
0x50,50:03.3,0.0195,0.9653,-0.249,-1.2207,-0.061,1.2817,103.277,-1.582,57.9639,0
0x50,50:03.3,0.0234,0.9658,-0.2461,-1.1597,0.061,1.0986,103.266,-1.5985,57.9364,0
0x50,50:03.3,0.0254,0.9673,-0.2422,-1.2207,0.6104,0.6714,103.255,-1.615,57.9144,0
0x50,50:03.3,0.0308,0.9692,-0.2422,-1.2817,1.2207,0.1831,103.2385,-1.626,57.9089,0
0x50,50:03.3,0.0254,0.9668,-0.2466,-1.0986,2.1362,-0.3052,103.222,-1.637,57.9199,0
0x50,50:03.4,0.0225,0.9663,-0.251,-1.0986,2.2583,-0.4883,103.2166,-1.6315,57.9364,0
0x50,50:03.4,0.0146,0.9692,-0.25,-1.0986,1.4648,-0.1831,103.2056,-1.6315,57.9474,0
0x50,50:03.4,0.0112,0.9736,-0.2461,-1.4038,0.4272,0.4883,103.1946,-1.626,57.9419,0
0x50,50:03.4,0.0112,0.9712,-0.2422,-1.5259,-0.5493,1.2207,103.1781,-1.6315,57.9089,0
0x50,50:03.4,0.0151,0.9629,-0.2388,-1.4038,-1.5869,1.8311,103.1616,-1.6479,57.854,0
0x50,50:03.5,0.0215,0.9604,-0.2437,-0.5493,-1.2817,2.0752,103.1506,-1.6699,57.7936,0
0x50,50:03.5,0.019,0.9639,-0.2456,-0.6104,-1.0376,2.1362,103.1561,-1.6974,57.7386,0
0x50,50:03.5,0.0234,0.9653,-0.2451,-0.7935,-1.0376,2.0142,103.1561,-1.7303,57.6837,0
0x50,50:03.5,0.0264,0.9702,-0.2437,-0.9766,-0.8545,1.8311,103.1506,-1.7578,57.6343,0
0x50,50:03.6,0.0327,0.9639,-0.2437,-1.0376,-0.6104,1.4648,103.1451,-1.7853,57.5903,0
0x50,50:03.6,0.0313,0.9634,-0.2422,-0.6714,0.4272,0.9155,103.1396,-1.8127,57.5684,0
0x50,50:03.6,0.0239,0.9683,-0.2446,-0.3662,0.7935,0.7324,103.1396,-1.8237,57.5519,0
0x50,50:03.6,0.0205,0.9668,-0.2451,-0.4272,0,0.8545,103.1451,-1.8347,57.5354,0
0x50,50:03.6,0.0254,0.9673,-0.2437,-0.7324,-0.2441,0.7935,103.1451,-1.8457,57.5079,0
0x50,50:03.6,0.0303,0.9673,-0.2397,-0.7935,0.1831,0.4883,103.1396,-1.8567,57.486,0
0x50,50:03.7,0.0283,0.9692,-0.2441,-0.6714,0.6714,0,103.1396,-1.8622,57.475,0
0x50,50:03.7,0.0166,0.9712,-0.2446,-0.9766,-0.3662,0.061,103.1342,-1.8567,57.4585,0
0x50,50:03.7,0.0181,0.9688,-0.2437,-1.77,-1.709,0.4272,103.1177,-1.8457,57.4146,0
0x50,50:03.7,0.0229,0.9653,-0.2378,-2.0752,-2.5024,0.5493,103.0902,-1.8347,57.3486,0
0x50,50:03.7,0.0449,0.9629,-0.2344,-0.9155,-1.2817,0.061,103.0737,-1.8347,57.2992,0
0x50,50:03.8,0.0396,0.9692,-0.2378,-0.3052,1.77,-0.7935,103.0682,-1.8347,57.2937,0
0x50,50:03.8,0.0352,0.9624,-0.248,-0.3662,3.6621,-1.3428,103.0737,-1.8347,57.3376,0
0x50,50:03.8,0.02,0.9653,-0.2598,-0.4272,4.0283,-1.4038,103.0792,-1.8182,57.3926,0
