StartTime: 2021-08-05 11:43:50.371,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50,01:58.2,0.3418,0.9185,-0.1782,-0.6104,-5.7373,2.8687,101.8323,-19.8688,44.4781,0
0x50,01:58.3,0.3442,0.9209,-0.1953,-1.6479,-9.5215,3.6011,101.8762,-19.9017,44.3683,0
0x50,01:58.3,0.3545,0.8955,-0.1846,-1.5259,-9.8877,3.418,101.9147,-19.9457,44.2529,0
0x50,01:58.3,0.3643,0.939,-0.1636,-1.8311,-5.8594,2.6855,101.9037,-19.9841,44.2365,0
0x50,01:58.3,0.3779,0.9619,-0.1719,-2.8687,-0.7324,0.4883,101.8323,-20.0061,44.3353,0
0x50,01:58.3,0.3574,0.9331,-0.2046,-2.1362,5.0659,-1.3428,101.7609,-20.0061,44.5496,0
0x50,01:58.4,0.311,0.895,-0.2095,0.4883,6.4087,-1.6479,101.7334,-19.9841,44.7803,0
0x50,01:58.4,0.3262,0.9023,-0.1753,1.2817,3.3569,-1.8921,101.7279,-19.9567,44.9561,0
0x50,01:58.4,0.3789,0.9019,-0.1641,-0.6104,3.8452,-2.9907,101.6675,-19.9457,45.1593,0
0x50,01:58.4,0.3643,0.8862,-0.1753,-1.4038,9.4604,-4.1504,101.5631,-19.9292,45.4724,0
0x50,01:58.4,0.3457,0.8677,-0.1792,-0.1221,13.1226,-4.6387,101.4642,-19.9072,45.8514,0
0x50,01:58.5,0.3442,0.8721,-0.1768,0.7935,13.916,-4.6387,101.3763,-19.8853,46.2469,0
0x50,01:58.5,0.3271,0.8867,-0.1929,0.4883,11.4746,-3.9063,101.3104,-19.8523,46.5765,0
0x50,01:58.5,0.3188,0.8901,-0.2148,-0.061,5.5542,-2.9297,101.2939,-19.8083,46.7688,0
0x50,01:58.5,0.3213,0.9048,-0.2314,0,-0.6714,-1.4038,101.3324,-19.7644,46.8182,0
0x50,01:58.5,0.3154,0.9175,-0.2197,0.6714,-6.7139,0.4883,101.4148,-19.7314,46.7413,0
0x50,01:58.6,0.3276,0.9268,-0.2002,0.7935,-10.3149,1.0986,101.5137,-19.704,46.593,0
0x50,01:58.6,0.3389,0.9146,-0.1973,0.7935,-9.8877,0.7324,101.6071,-19.682,46.4612,0
0x50,01:58.6,0.3369,0.9048,-0.2036,1.3428,-8.7891,1.4648,101.7114,-19.6765,46.3458,0
0x50,01:58.6,0.3374,0.9043,-0.1885,2.4414,-7.8125,1.77,101.8158,-19.6875,46.2579,0
0x50,01:58.6,0.3286,0.9067,-0.1729,2.8076,-4.7607,0.4272,101.8927,-19.6765,46.2415,0
0x50,01:58.7,0.3276,0.8999,-0.1646,2.8076,0,-1.2817,101.9312,-19.649,46.3403,0
0x50,01:58.7,0.3125,0.9111,-0.1836,2.3193,2.8687,-3.2349,101.9421,-19.5886,46.4941,0
0x50,01:58.7,0.3081,0.9282,-0.2012,1.6479,3.2959,-5.6152,101.9476,-19.4733,46.6644,0
0x50,01:58.7,0.2803,0.9268,-0.2144,1.2817,0.061,-6.8359,101.9751,-19.303,46.7578,0
0x50,01:58.7,0.2891,0.9287,-0.2202,1.2817,-4.8828,-7.9346,102.0355,-19.0997,46.7578,0
0x50,01:58.8,0.3203,0.9199,-0.2173,1.0986,-3.7231,-9.7046,102.085,-18.891,46.7908,0
0x50,01:58.8,0.3501,0.897,-0.2007,1.5259,1.0376,-10.498,102.1014,-18.7152,46.9336,0
0x50,01:58.8,0.3735,0.9063,-0.2026,2.5024,4.2725,-9.0942,102.1179,-18.5944,47.1423,0
0x50,01:58.8,0.543,0.9048,-0.2212,3.7231,2.3804,-1.5259,102.2003,-18.7097,47.2742,0
0x50,01:58.8,0.3799,0.9561,-0.1899,4.6387,2.6855,-1.2207,102.2662,-18.7317,47.4115,0
0x50,01:58.9,0.3315,0.9614,-0.1768,1.8921,2.0142,-7.0801,102.2552,-18.5999,47.5708,0
0x50,01:58.9,0.3735,0.9316,-0.1763,1.77,3.9063,-9.3384,102.2388,-18.4735,47.774,0
0x50,01:58.9,0.3496,0.9292,-0.1763,1.709,2.5635,-11.4136,102.2223,-18.2867,47.9553,0
0x50,01:58.9,0.3408,0.9019,-0.187,2.0142,1.0986,-11.7188,102.2333,-18.0835,48.1036,0
0x50,01:58.9,0.335,0.8926,-0.1919,2.2583,-3.2959,-10.0098,102.2882,-17.9022,48.1476,0
0x50,01:59.0,0.3618,0.8643,-0.2036,2.3193,-6.6528,-6.7749,102.3761,-17.7924,48.1036,0
0x50,01:59.0,0.2783,0.8789,-0.2017,2.3804,-4.2725,-6.3477,102.4475,-17.644,48.1091,0
