StartTime: 2021-08-05 11:43:50.371,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50,07:20.7,0.0181,0.9326,-0.3608,0.1831,-0.8545,0.061,111.1102,-1.7029,42.5885,0
0x50,07:20.7,0.0366,0.9209,-0.3857,-0.3662,-1.0376,1.5869,111.1267,-1.7303,42.5555,0
0x50,07:20.7,0.0659,0.8984,-0.3984,-0.6714,1.4038,2.2583,111.1432,-1.8073,42.5665,0
0x50,07:20.7,0.0479,0.9307,-0.3696,-1.1597,4.3335,0.5493,111.1267,-1.8622,42.6434,0
0x50,07:20.8,0.0313,0.9434,-0.3374,-1.0986,4.6387,-0.9766,111.0828,-1.8732,42.7368,0
0x50,07:20.8,0.0273,0.9419,-0.3306,-0.4883,5.7983,-2.0142,111.0498,-1.8732,42.8577,0
0x50,07:20.8,0.0386,0.9238,-0.3657,-0.2441,6.4087,-1.8921,111.0443,-1.8896,42.9895,0
0x50,07:20.8,0.0195,0.9229,-0.3809,-1.0986,6.2866,-1.3428,111.0333,-1.9006,43.1104,0
0x50,07:20.9,0.0391,0.9189,-0.3765,-2.0752,6.3477,-0.9155,111.0059,-1.9336,43.2257,0
0x50,07:20.9,0.0542,0.9199,-0.3457,-1.4648,8.3008,-2.3804,110.9674,-1.9611,43.396,0
0x50,07:20.9,0.0005,0.9604,-0.3125,0.3662,7.3853,-3.2959,110.9344,-1.9281,43.5498,0
0x50,07:20.9,-0.0366,0.9512,-0.3213,1.0376,1.2207,-1.0986,110.9235,-1.8677,43.5718,0
0x50,07:20.9,-0.0049,0.9321,-0.3535,1.0986,-4.1504,1.3428,110.9454,-1.8402,43.4729,0
0x50,07:20.9,0.0479,0.9106,-0.3745,0.7324,-5.0659,2.5024,110.9839,-1.8622,43.3521,0
0x50,07:21.0,0.043,0.9258,-0.3613,1.2207,-4.2114,1.8311,111.0114,-1.8732,43.2532,0
0x50,07:21.0,0.0557,0.9443,-0.3442,0.8545,-5.9204,0.2441,111.0223,-1.8512,43.1378,0
0x50,07:21.0,0.0317,0.9424,-0.3486,1.2207,-5.188,-0.6714,111.0388,-1.8018,43.0444,0
0x50,07:21.0,0.0181,0.9238,-0.3657,0.9766,-3.1738,-0.061,111.0718,-1.7688,42.9785,0
0x50,07:21.0,0.0186,0.9238,-0.3672,0.3662,-3.1128,1.0376,111.0883,-1.7578,42.9126,0
0x50,07:21.1,0.0488,0.9238,-0.3584,-0.2441,-2.0142,1.2817,111.0828,-1.7798,42.8632,0
0x50,07:21.1,0.0527,0.9258,-0.3701,0.061,2.8076,1.2817,111.0938,-1.8347,42.9071,0
0x50,07:21.1,0.0396,0.9224,-0.3594,-0.7935,6.2256,0.6714,111.0773,-1.9006,43.0115,0
0x50,07:21.1,0.0054,0.9458,-0.3252,-0.4883,5.3711,-0.9766,111.0388,-1.9006,43.1158,0
0x50,07:21.1,-0.0059,0.9561,-0.3286,-0.3052,-0.6714,-1.5259,111.0059,-1.8402,43.1104,0
0x50,07:21.2,0.1001,0.9023,-0.4033,-2.0142,0,-1.5259,111.0004,-1.8622,43.1158,0
0x50,07:21.2,0.0356,0.8965,-0.4048,-1.1597,3.54,-1.6479,111.0168,-1.8567,43.1873,0
0x50,07:21.2,0.0552,0.9263,-0.3501,-1.5869,3.479,-2.8687,110.9784,-1.8457,43.2642,0
0x50,07:21.2,0.0591,0.9507,-0.3203,0.5493,7.019,-6.0425,110.9564,-1.8018,43.4344,0
0x50,07:21.2,0.0117,0.9395,-0.3472,1.77,7.7515,-7.2021,110.9784,-1.7084,43.6212,0
0x50,07:21.3,-0.0127,0.9355,-0.3726,0.8545,1.3428,-4.9438,111.0004,-1.5985,43.6707,0
0x50,07:21.3,0.0078,0.9233,-0.3628,0.7935,-3.54,-2.9297,111.0223,-1.5051,43.6157,0
0x50,07:21.3,0.0234,0.9292,-0.3447,1.709,-3.8452,-3.1738,111.0498,-1.4172,43.5608,0
0x50,07:21.3,0.019,0.9419,-0.3315,2.5024,-5.5542,-4.0283,111.0828,-1.2964,43.4784,0
0x50,07:21.3,-0.0098,0.959,-0.3442,2.5024,-7.3242,-4.5166,111.1157,-1.1426,43.3685,0
