StartTime: 2021-08-05 11:43:50.371,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50,12:35.6,-0.6206,0.7935,-0.0381,1.2207,-2.5024,1.8311,93.4167,38.139,110.5115,0
0x50,12:35.7,-0.6064,0.7939,-0.0474,0.9155,-2.8687,2.3193,93.3893,38.1006,110.2643,0
0x50,12:35.7,-0.6201,0.7925,-0.0454,1.1597,-2.9907,2.5024,93.3618,38.0511,110.0061,0
0x50,12:35.7,-0.6274,0.7803,-0.0347,2.0142,-3.7231,3.1738,93.3344,38.0017,109.7424,0
0x50,12:35.7,-0.6348,0.7896,-0.021,2.8076,-4.3335,3.418,93.3014,37.9523,109.4678,0
0x50,12:35.7,-0.6172,0.7891,-0.019,2.9907,-6.7139,3.54,93.2629,37.9028,109.1656,0
0x50,12:35.8,-0.5918,0.7847,-0.0146,2.7466,-6.5308,2.7466,93.1915,37.8424,108.8251,0
0x50,12:35.8,-0.6016,0.79,-0.0068,2.8687,-5.249,1.4648,93.1201,37.793,108.501,0
0x50,12:35.8,-0.6206,0.7832,0,2.0752,-5.4321,0.1221,93.0542,37.7765,108.1989,0
0x50,12:35.8,-0.6143,0.7754,0.0024,1.0986,-4.8218,-1.2817,92.9773,37.7985,107.9077,0
0x50,12:35.8,-0.6045,0.7583,0.0049,0.1221,-0.5493,-3.2349,92.9004,37.8479,107.6605,0
0x50,12:35.9,-0.623,0.7568,-0.002,-0.6714,5.4321,-5.0049,92.8784,37.9358,107.5342,0
0x50,12:35.9,-0.6445,0.7593,-0.0127,-2.1973,9.3384,-5.6152,92.9333,38.0566,107.5507,0
0x50,12:35.9,-0.6553,0.7534,-0.0308,-3.7231,11.6577,-5.3101,93.0267,38.183,107.6605,0
0x50,12:36.0,-0.6572,0.7466,-0.0552,-4.5166,12.8174,-4.6387,93.1421,38.3093,107.8253,0
0x50,12:36.0,-0.6636,0.751,-0.063,-4.6997,11.9019,-3.418,93.2739,38.4137,108.0011,0
0x50,12:36.0,-0.668,0.7617,-0.0747,-4.5166,8.2397,-1.9531,93.3838,38.4961,108.1329,0
0x50,12:36.0,-0.6519,0.771,-0.0879,-4.3945,5.9814,-0.4883,93.4497,38.54,108.1824,0
0x50,12:36.0,-0.6323,0.7705,-0.0869,-4.2725,6.1035,0.5493,93.4937,38.551,108.1824,0
0x50,12:36.0,-0.6279,0.77,-0.0786,-3.6011,6.4697,1.4038,93.5431,38.5345,108.1879,0
